 |INFO | 2015-09-16 20:09:33,471| UserService              | Retrieve                      | Method Start
 |INFO | 2015-09-16 20:09:33,535| Users                    | Retrieve                      | Method Start
 |INFO | 2015-09-16 20:09:33,561| MySQL_User               | Retrieve                      | Method Start
 |INFO | 2015-09-16 20:09:33,748| MySQL_User               | Retrieve                      | Method End
 |INFO | 2015-09-16 20:10:59,887| UserService              | Retrieve                      | Method Start
 |INFO | 2015-09-16 20:10:59,888| Users                    | Retrieve                      | Method Start
 |INFO | 2015-09-16 20:10:59,888| MySQL_User               | Retrieve                      | Method Start
 |INFO | 2015-09-16 20:11:00,084| LogHelper                | LogMaker                      | Method Start
 |INFO | 2015-09-16 20:11:00,221| LogHelper                | LogMaker                      | Method End
 |INFO | 2015-09-16 20:11:00,223| MySQL_User               | Retrieve                      | Method End
 |INFO | 2015-09-16 20:11:00,224| LogHelper                | LogMaker                      | Method Start
 |INFO | 2015-09-16 20:11:00,224| LogHelper                | LogMaker                      | Method End
 |INFO | 2015-09-16 20:11:00,224| Users                    | Retrieve                      | Method End
 |INFO | 2015-09-16 20:11:00,225| LogHelper                | LogMaker                      | Method Start
 |INFO | 2015-09-16 20:11:00,225| LogHelper                | LogMaker                      | Method End
 |INFO | 2015-09-16 20:11:00,225| UserService              | Retrieve                      | Method End
 |INFO | 2015-09-16 20:11:02,811| UserService              | Retrieve                      | Method Start
 |INFO | 2015-09-16 20:11:02,812| Users                    | Retrieve                      | Method Start
 |INFO | 2015-09-16 20:11:02,812| MySQL_User               | Retrieve                      | Method Start
 |INFO | 2015-09-16 20:11:02,813| LogHelper                | LogMaker                      | Method Start
 |INFO | 2015-09-16 20:11:02,814| LogHelper                | LogMaker                      | Method End
 |INFO | 2015-09-16 20:11:02,819| MySQL_User               | Retrieve                      | Method End
 |INFO | 2015-09-16 20:11:02,819| LogHelper                | LogMaker                      | Method Start
 |INFO | 2015-09-16 20:11:02,819| LogHelper                | LogMaker                      | Method End
 |INFO | 2015-09-16 20:11:02,820| Users                    | Retrieve                      | Method End
 |INFO | 2015-09-16 20:11:02,820| LogHelper                | LogMaker                      | Method Start
 |INFO | 2015-09-16 20:11:02,820| LogHelper                | LogMaker                      | Method End
 |INFO | 2015-09-16 20:11:02,820| UserService              | Retrieve                      | Method End
 |INFO | 2015-09-16 20:14:30,557| UserService              | Retrieve                      | Method Start
 |INFO | 2015-09-16 20:14:30,579| Users                    | Retrieve                      | Method Start
 |INFO | 2015-09-16 20:14:30,594| MySQL_User               | Retrieve                      | Method Start
 |INFO | 2015-09-16 20:14:30,686| LogHelper                | LogMaker                      | Method Start
 |INFO | 2015-09-16 20:14:30,811| LogHelper                | LogMaker                      | Method End
 |INFO | 2015-09-16 20:14:30,816| MySQL_User               | Retrieve                      | Method End
 |INFO | 2015-09-16 20:14:30,817| LogHelper                | LogMaker                      | Method Start
 |INFO | 2015-09-16 20:14:30,817| LogHelper                | LogMaker                      | Method End
 |INFO | 2015-09-16 20:14:30,817| Users                    | Retrieve                      | Method End
 |INFO | 2015-09-16 20:14:30,817| LogHelper                | LogMaker                      | Method Start
 |INFO | 2015-09-16 20:14:30,818| LogHelper                | LogMaker                      | Method End
 |INFO | 2015-09-16 20:14:30,818| UserService              | Retrieve                      | Method End
 |INFO | 2015-09-16 20:14:40,650| UserService              | RetrieveUser                  | Method Start
